                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1043,                 2.3103,                 1.4044,                0.00467,                      1,                0.59467,                0.27588,                0.99081,                 3.0246,                 1.6001,                0.00046,                0.00046,                0.00046
                      2,                  1.135,                 1.7418,                 1.4122,                0.21529,                0.14286,                0.35275,                0.13148,                 2.0914,                 3.0486,                 2.5683,             0.00093069,             0.00093069,             0.00093069
                      3,                 1.1913,                 1.6171,                 1.4543,                0.02839,                0.14286,                0.04322,                0.01281,                 2.5887,                 3.8148,                 3.5678,              0.0013919,              0.0013919,              0.0013919
                      4,                 1.2548,                 1.6782,                 1.4982,                0.19568,                0.42857,                0.22614,                0.05803,                 2.4023,                  2.937,                  2.836,              0.0018436,              0.0018436,              0.0018436
                      5,                 1.2564,                 1.5892,                 1.4888,                0.06393,                0.14286,                 0.0399,                0.01228,                 2.7871,                 9.9543,                 2.9197,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.2313,                 1.5797,                 1.4598,                0.33108,                0.28571,                0.16306,                0.06956,                 2.6256,                 3.3087,                 3.1125,               0.001901,               0.001901,               0.001901
                      7,                 1.1836,                 1.4627,                 1.4491,                0.66651,                0.42857,                 0.3351,                0.12721,                 2.8643,                 5.2403,                 3.2168,              0.0018812,              0.0018812,              0.0018812
                      8,                  1.211,                  1.469,                 1.4856,                0.15203,                0.42857,                0.07692,                0.01751,                 3.1103,                  4.011,                 3.3697,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.2062,                 1.4405,                 1.4682,                0.66156,                0.71429,                0.70761,                0.35854,                 1.5962,                 2.2873,                 2.2956,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.2119,                 1.3791,                 1.4707,                 0.4294,                0.71429,                0.51679,                0.25361,                 1.9632,                 3.8305,                 2.8331,              0.0018218,              0.0018218,              0.0018218
                     11,                   1.22,                 1.3717,                 1.4694,                0.70551,                0.42857,                0.56212,                0.34403,                 1.9471,                 1.7809,                 2.6682,               0.001802,               0.001802,               0.001802
                     12,                 1.1198,                 1.3053,                 1.4046,                0.56092,                0.57143,                0.51957,                0.30637,                 1.6488,                 1.8017,                 2.0902,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0852,                 1.1781,                 1.3851,                0.58019,                0.40027,                0.47563,                0.14774,                 1.8376,                 2.1101,                 2.1297,              0.0017624,              0.0017624,              0.0017624
                     14,                  1.084,                 1.1874,                 1.3779,                0.68874,                0.42857,                0.49188,                0.27786,                 2.0078,                 1.9588,                 2.4256,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0947,                 1.1845,                 1.3859,                0.46519,                0.57143,                0.40388,                0.25948,                 1.6172,                 2.1706,                 2.0754,              0.0017228,              0.0017228,              0.0017228
                     16,                  1.103,                 1.1336,                 1.3761,                0.47517,                0.42857,                0.39504,                0.25443,                 1.4444,                 1.6425,                 1.8511,               0.001703,               0.001703,               0.001703
                     17,                 1.0592,                  1.044,                 1.3244,                0.56743,                0.42857,                0.43233,                 0.2414,                 1.8875,                 1.9654,                 2.3118,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.0591,                 1.1008,                 1.3258,                0.79129,                0.54654,                 0.6402,                0.31712,                 1.9034,                 1.4325,                 2.5928,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.0336,                 1.0883,                 1.3237,                0.42937,                0.57143,                0.52771,                0.37978,                 1.5175,                  1.689,                 1.8411,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.0323,                 1.0716,                 1.3183,                0.33976,                0.42857,                0.29618,                 0.1875,                 1.5069,                 2.0001,                 1.7707,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.0334,                 1.0605,                 1.3324,                0.47928,                0.71429,                0.58642,                 0.3849,                 1.3206,                 1.5499,                 1.8103,               0.001604,               0.001604,               0.001604
                     22,                0.91278,                0.91736,                 1.2212,                0.72845,                0.42857,                0.52218,                0.35035,                  1.552,                 2.1891,                 2.0709,              0.0015842,              0.0015842,              0.0015842
                     23,                0.99456,                0.99125,                 1.2947,                0.89758,                0.42857,                0.58078,                0.38508,                 1.5889,                 1.5415,                 2.1283,              0.0015644,              0.0015644,              0.0015644
                     24,                0.98267,                0.94558,                 1.3176,                0.96592,                0.28571,                 0.4472,                0.29313,                 1.7071,                 1.6044,                 2.1797,              0.0015446,              0.0015446,              0.0015446
                     25,                0.97846,                0.96526,                 1.2895,                0.69109,                0.57143,                0.69561,                0.41525,                 1.3743,                 1.3587,                  1.796,              0.0015248,              0.0015248,              0.0015248
                     26,                0.95611,                0.91337,                 1.2706,                0.48233,                0.85714,                  0.619,                0.35173,                 1.4977,                 1.5961,                 2.2253,               0.001505,               0.001505,               0.001505
                     27,                0.95109,                0.92539,                 1.2554,                 0.5862,                0.85714,                0.65827,                0.45632,                 1.4174,                 1.0711,                 2.0011,              0.0014852,              0.0014852,              0.0014852
                     28,                0.97781,                0.92602,                 1.2889,                0.59415,                0.71429,                 0.7248,                0.47936,                 1.4327,                 1.2329,                 2.1673,              0.0014654,              0.0014654,              0.0014654
                     29,                0.93232,                0.86776,                 1.2559,                      1,                 0.5695,                 0.6402,                0.42845,                 1.5812,                 1.6776,                 2.0481,              0.0014456,              0.0014456,              0.0014456
                     30,                0.91993,                0.85359,                 1.2383,                      1,                0.70601,                0.88372,                 0.4182,                 1.5339,                 1.2918,                 1.8714,              0.0014258,              0.0014258,              0.0014258
                     31,                0.91332,                0.87806,                 1.2563,                0.84816,                0.85714,                0.90246,                0.54584,                 1.3598,                0.96742,                  1.833,               0.001406,               0.001406,               0.001406
                     32,                0.91146,                0.85462,                 1.2193,                0.71145,                0.70578,                 0.7622,                 0.3893,                 1.8005,                 1.2292,                 2.3731,              0.0013862,              0.0013862,              0.0013862
                     33,                0.89379,                0.84873,                 1.2387,                0.57297,                0.42857,                0.51349,                0.36676,                 1.6825,                 1.4133,                 2.2858,              0.0013664,              0.0013664,              0.0013664
                     34,                0.88685,                0.85501,                 1.2239,                      1,                 0.5657,                 0.6443,                0.37464,                 1.4016,                 1.7563,                 1.9997,              0.0013466,              0.0013466,              0.0013466
                     35,                0.87504,                0.79983,                 1.2229,                 0.9406,                0.42857,                0.55515,                 0.3797,                 1.6437,                 1.4641,                 2.4567,              0.0013268,              0.0013268,              0.0013268
                     36,                0.86911,                0.79005,                 1.2177,                0.33797,                0.71429,                0.59938,                0.42448,                 1.2556,                 1.4744,                 1.6584,               0.001307,               0.001307,               0.001307
                     37,                0.83787,                0.76059,                 1.1802,                0.55369,                0.57143,                0.57313,                0.39516,                 1.4796,                 1.3556,                 2.1374,              0.0012872,              0.0012872,              0.0012872
                     38,                0.86849,                0.82463,                 1.2345,                0.49029,                0.71429,                0.61962,                0.44745,                  1.368,                 1.2283,                 1.7444,              0.0012674,              0.0012674,              0.0012674
                     39,                0.83689,                 0.7419,                 1.1728,                0.96648,                0.28571,                0.48818,                0.32936,                 1.8484,                 1.3837,                 2.2786,              0.0012476,              0.0012476,              0.0012476
                     40,                0.82943,                0.76017,                 1.1858,                0.79757,                0.56447,                0.70022,                0.39519,                  1.401,                 1.4764,                 1.6427,              0.0012278,              0.0012278,              0.0012278
                     41,                0.85566,                 0.7551,                 1.2022,                0.60114,                0.71429,                0.71336,                 0.3896,                 1.6916,                 1.4009,                  2.305,               0.001208,               0.001208,               0.001208
                     42,                0.85302,                0.75995,                 1.2035,                0.89363,                0.71429,                0.81761,                0.49702,                 1.3529,                 1.0808,                 1.9328,              0.0011882,              0.0011882,              0.0011882
                     43,                0.84991,                0.74525,                 1.1859,                0.70368,                0.68246,                0.66605,                0.48665,                 1.2328,                 1.0984,                 1.6515,              0.0011684,              0.0011684,              0.0011684
                     44,                0.83952,                0.74075,                 1.1871,                0.82457,                0.67672,                0.81703,                0.58654,                 1.1871,                0.90351,                 1.7003,              0.0011486,              0.0011486,              0.0011486
                     45,                0.82684,                0.74263,                 1.1788,                      1,                0.57058,                0.76265,                0.45837,                 1.3435,                 1.1667,                 1.9533,              0.0011288,              0.0011288,              0.0011288
                     46,                0.81273,                0.71734,                 1.1661,                0.79703,                0.56295,                0.56332,                0.37034,                 1.7796,                 1.1017,                 2.8801,               0.001109,               0.001109,               0.001109
                     47,                0.80735,                0.72009,                 1.1769,                0.61678,                0.57143,                0.62727,                 0.3862,                 1.6077,                 1.2341,                  2.099,              0.0010892,              0.0010892,              0.0010892
                     48,                 0.8112,                0.69684,                 1.1658,                0.77507,                0.57143,                0.66075,                  0.373,                 1.6251,                  1.561,                 2.2155,              0.0010694,              0.0010694,              0.0010694
                     49,                0.81289,                0.70612,                 1.1677,                0.57884,                0.42857,                0.46131,                0.29139,                 1.9502,                 1.9358,                 2.7184,              0.0010496,              0.0010496,              0.0010496
                     50,                0.81492,                0.71232,                 1.1905,                0.98295,                0.57143,                0.64544,                0.37981,                 1.5667,                 1.6629,                 2.2863,              0.0010298,              0.0010298,              0.0010298
                     51,                0.79842,                0.68033,                 1.1761,                0.76956,                0.57143,                0.71319,                0.45362,                 1.5166,                 1.4171,                 2.0153,                0.00101,                0.00101,                0.00101
                     52,                  0.804,                0.69154,                 1.1796,                0.66353,                0.57143,                0.70717,                0.39556,                 1.4489,                 1.4213,                 1.8578,              0.0009902,              0.0009902,              0.0009902
                     53,                0.80714,                0.68576,                 1.1674,                0.79806,                0.57143,                0.70511,                0.45036,                 1.4132,                 1.2974,                 1.8257,              0.0009704,              0.0009704,              0.0009704
                     54,                0.80524,                0.68283,                 1.1755,                0.82782,                0.69067,                0.76996,                0.47575,                 1.1774,                0.98455,                 1.7325,              0.0009506,              0.0009506,              0.0009506
                     55,                0.79435,                0.68237,                 1.1529,                 0.8298,                0.69914,                0.83803,                0.49691,                 1.3863,                0.92787,                 1.8946,              0.0009308,              0.0009308,              0.0009308
                     56,                0.76046,                0.65467,                 1.1282,                0.98117,                0.57143,                0.85033,                0.52278,                 1.4973,                0.95804,                 1.8921,               0.000911,               0.000911,               0.000911
                     57,                0.75788,                0.63863,                 1.1281,                 0.5712,                0.57098,                 0.5312,                 0.3766,                 1.4196,                 1.4402,                 2.0968,              0.0008912,              0.0008912,              0.0008912
                     58,                0.76262,                0.62665,                 1.1479,                0.74859,                0.42857,                 0.5434,                0.33693,                 1.8431,                 1.3902,                 2.7592,              0.0008714,              0.0008714,              0.0008714
                     59,                0.75522,                0.64159,                 1.1479,                      1,                 0.6901,                0.86136,                0.50612,                 1.4407,                0.95188,                 1.9957,              0.0008516,              0.0008516,              0.0008516
                     60,                0.73379,                0.61827,                 1.1328,                0.94862,                0.57143,                0.78628,                0.48452,                 1.4706,                 1.1411,                 2.1237,              0.0008318,              0.0008318,              0.0008318
                     61,                0.75304,                0.61395,                 1.1462,                0.98347,                0.71429,                0.84722,                0.57426,                 1.2588,                 1.0117,                 1.6821,               0.000812,               0.000812,               0.000812
                     62,                0.72963,                0.62912,                 1.1084,                0.75912,                0.57143,                0.65403,                0.46376,                 1.1302,                 1.4356,                 1.5718,              0.0007922,              0.0007922,              0.0007922
                     63,                0.73208,                0.59715,                 1.1301,                      1,                0.56355,                0.65636,                0.36893,                 1.3984,                 1.6666,                  1.978,              0.0007724,              0.0007724,              0.0007724
                     64,                0.71208,                0.57805,                 1.1107,                0.97421,                0.42857,                0.61743,                0.41724,                 1.4034,                 1.3888,                 1.8298,              0.0007526,              0.0007526,              0.0007526
                     65,                0.68967,                0.56507,                 1.0914,                  0.758,                0.71429,                0.74323,                0.48592,                 1.1081,                 1.0305,                  1.737,              0.0007328,              0.0007328,              0.0007328
                     66,                0.73734,                0.60318,                 1.1205,                0.82985,                0.69937,                0.75878,                0.52312,                 1.3698,                 1.1495,                 1.9035,               0.000713,               0.000713,               0.000713
                     67,                0.68841,                 0.5706,                 1.0964,                      1,                0.70575,                0.76459,                0.52951,                 1.3295,                 1.2356,                 1.8108,              0.0006932,              0.0006932,              0.0006932
                     68,                0.70003,                 0.5592,                  1.095,                0.79532,                0.55805,                0.62685,                0.44865,                 1.5061,                 1.2952,                 2.1752,              0.0006734,              0.0006734,              0.0006734
                     69,                0.69442,                 0.5516,                 1.0918,                0.79545,                0.55842,                0.68282,                0.38603,                 1.5163,                 1.2622,                 1.9691,              0.0006536,              0.0006536,              0.0006536
                     70,                 0.7242,                0.58409,                 1.1137,                0.88718,                0.42857,                0.63662,                0.36086,                 1.5281,                 1.3128,                 2.2191,              0.0006338,              0.0006338,              0.0006338
                     71,                 0.6839,                0.57477,                 1.1006,                0.70007,                0.67163,                0.77567,                0.45062,                 1.4387,                 1.2937,                 1.9965,               0.000614,               0.000614,               0.000614
                     72,                0.65935,                0.54508,                  1.076,                0.97556,                0.57143,                0.81838,                0.56227,                 1.3624,                0.88355,                 1.7709,              0.0005942,              0.0005942,              0.0005942
                     73,                0.67503,                0.55062,                 1.0971,                 0.8568,                0.85506,                0.86944,                0.56563,                 1.2972,                0.94347,                 1.6996,              0.0005744,              0.0005744,              0.0005744
                     74,                0.68999,                0.56492,                 1.0974,                0.71037,                0.70255,                0.77161,                0.48855,                 1.4003,                 1.1773,                 1.8598,              0.0005546,              0.0005546,              0.0005546
                     75,                0.66619,                0.54279,                 1.0824,                0.99336,                0.57143,                0.71168,                0.53424,                 1.3288,                 1.2237,                   1.72,              0.0005348,              0.0005348,              0.0005348
                     76,                0.66684,                0.52103,                 1.0771,                      1,                0.56497,                0.78837,                0.57474,                 1.0709,                 1.0022,                  1.557,               0.000515,               0.000515,               0.000515
                     77,                0.67079,                0.52525,                 1.0728,                0.98582,                0.57143,                0.79797,                0.54989,                 1.2845,                 1.1122,                 1.8085,              0.0004952,              0.0004952,              0.0004952
                     78,                0.65034,                0.53204,                 1.0824,                 0.8512,                0.82151,                0.92409,                0.56486,                 1.2652,                0.88842,                 2.0074,              0.0004754,              0.0004754,              0.0004754
                     79,                 0.6458,                 0.5214,                 1.0696,                      1,                0.70357,                0.82516,                0.52253,                 1.2249,                0.89397,                 1.7809,              0.0004556,              0.0004556,              0.0004556
                     80,                0.61976,                0.49276,                  1.062,                0.93197,                0.71429,                0.83397,                0.50416,                 1.3844,                0.95459,                 2.0369,              0.0004358,              0.0004358,              0.0004358
                     81,                0.65091,                0.51842,                 1.0653,                0.71084,                0.57143,                0.72317,                0.47835,                 1.5252,                 1.2295,                 2.1862,               0.000416,               0.000416,               0.000416
                     82,                0.63066,                0.48835,                 1.0457,                 0.7843,                0.57143,                0.73369,                0.47876,                 1.4602,                 1.4189,                 2.1063,              0.0003962,              0.0003962,              0.0003962
                     83,                0.64174,                 0.5183,                 1.0698,                0.85071,                0.81856,                   0.85,                0.54575,                 1.3967,                 1.2289,                 2.0798,              0.0003764,              0.0003764,              0.0003764
                     84,                0.61178,                 0.4974,                 1.0393,                 0.8304,                 0.7017,                0.82761,                0.56745,                 1.3484,                 1.1326,                 1.9873,              0.0003566,              0.0003566,              0.0003566
                     85,                0.61497,                0.48833,                 1.0718,                0.83296,                0.71268,                0.85955,                0.60598,                 1.3437,                  1.302,                  1.999,              0.0003368,              0.0003368,              0.0003368
                     86,                0.62156,                0.49141,                 1.0562,                 0.7712,                0.71429,                0.78564,                0.56217,                 1.3361,                 1.2763,                 1.8706,               0.000317,               0.000317,               0.000317
                     87,                0.62557,                0.49929,                 1.0559,                      1,                 0.5606,                0.77123,                0.55757,                  1.354,                 1.2919,                 1.9492,              0.0002972,              0.0002972,              0.0002972
                     88,                0.60313,                0.48517,                 1.0453,                      1,                0.68265,                0.81278,                0.59985,                 1.2947,                 1.2833,                 1.9508,              0.0002774,              0.0002774,              0.0002774
                     89,                0.59886,                0.46551,                 1.0332,                      1,                0.55969,                0.75238,                0.53907,                  1.303,                 1.3402,                 1.9507,              0.0002576,              0.0002576,              0.0002576
                     90,                0.60849,                0.48639,                 1.0439,                0.98639,                0.57143,                0.78944,                0.52043,                 1.4931,                  1.284,                  2.048,              0.0002378,              0.0002378,              0.0002378
